x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-6.2699294E-03,,,,
-6.2696542E-03,,,,
-6.2693790E-03,,,,
-6.2691038E-03,,,,
-6.2688285E-03,,,,
-6.2685533E-03,,,,
-6.2682781E-03,,,,
-6.2680029E-03,,,,
-6.2677277E-03,,,,
-6.2674525E-03,,,,
-6.2671773E-03,,,,
-6.2669021E-03,,,,
-6.2666269E-03,,,,
-6.2663517E-03,,,,
-6.2660765E-03,,,,
-6.2658013E-03,,,,
-6.2655261E-03,,,,
-6.2652509E-03,,,,
-6.2649757E-03,,,,
-6.2647005E-03,,,,
-6.2644253E-03,,,,
-6.2641501E-03,,,,
-6.2638749E-03,,,,
-6.2635997E-03,,,,
-6.2633245E-03,,,,
-6.2630493E-03,,,,
-6.2627741E-03,,,,
-6.2624989E-03,,,,
-6.2622236E-03,,,,
-6.2619484E-03,,,,
-6.2616732E-03,,,,
-6.2613980E-03,,,,
-6.2611228E-03,,,,
-6.2608476E-03,,,,
-6.2605724E-03,,,,
-6.2602972E-03,,,,
-6.2600220E-03,,,,
-6.2597468E-03,,,,
-6.2594716E-03,,,,
-6.2591964E-03,,,,
-6.2589212E-03,,,,
-6.2586460E-03,,,,
-6.2583708E-03,,,,
-6.2580956E-03,,,,
-6.2578204E-03,,,,
-6.2575452E-03,,,,
-6.2572700E-03,,,,
-6.2569948E-03,,,,
-6.2567196E-03,,,,
-6.2564444E-03,,,,
-6.2561692E-03,,,,
-6.2558940E-03,,,,
-6.2556188E-03,,,,
-6.2553435E-03,,,,
-6.2550683E-03,,,,
-6.2547931E-03,,,,
-6.2545179E-03,,,,
-6.2542427E-03,,,,
-6.2539675E-03,,,,
-6.2536923E-03,,,,
-6.2534171E-03,,,,
-6.2531419E-03,,,,
-6.2528667E-03,,,,
-6.2525915E-03,,,,
-6.2523163E-03,,,,
-6.2520411E-03,,,,
-6.2517659E-03,,,,
-6.2514907E-03,,,,
-6.2512155E-03,,,,
-6.2509403E-03,,,,
-6.2506651E-03,,,,
-6.2503899E-03,,,,
-6.2501147E-03,,,,
-6.2498395E-03,,,,
-6.2495643E-03,,,,
-6.2492891E-03,,,,
-6.2490139E-03,,,,
-6.2487386E-03,,,,
-6.2484634E-03,,,,
-6.2481882E-03,,,,
-6.2479130E-03,,,,
-6.2476378E-03,,,,
-6.2473626E-03,,,,
-6.2470874E-03,,,,
-6.2468122E-03,,,,
-6.2465370E-03,,,,
-6.2462618E-03,,,,
-6.2459866E-03,,,,
-6.2457114E-03,,,,
-6.2454362E-03,,,,
-6.2451610E-03,,,,
-6.2448858E-03,,,,
-6.2446106E-03,,,,
-6.2443354E-03,,,,
-6.2440602E-03,,,,
-6.2437850E-03,,,,
-6.2435098E-03,,,,
-6.2432346E-03,,,,
-6.2429594E-03,,,,
-6.2426842E-03,,,,
-6.2424090E-03,,,,
-6.2421337E-03,,,,
-6.2418585E-03,,,,
-6.2415833E-03,,,,
-6.2413081E-03,,,,
-6.2410329E-03,,,,
-6.2407577E-03,,,,
-6.2404825E-03,,,,
-6.2402073E-03,,,,
-6.2399321E-03,,,,
-6.2396569E-03,,,,
-6.2393817E-03,,,,
-6.2391065E-03,,,,
-6.2388313E-03,,,,
-6.2385561E-03,,,,
-6.2382809E-03,,,,
-6.2380057E-03,,,,
-6.2377305E-03,,,,
-6.2374553E-03,,,,
-6.2371801E-03,,,,
-6.2369049E-03,,,,
-6.2366297E-03,,,,
-6.2363545E-03,,,,
-6.2360793E-03,,,,
-6.2358041E-03,,,,
-6.2355289E-03,,,,
-6.2352536E-03,,,,
-6.2349784E-03,,,,
-6.2347032E-03,,,,
-6.2344280E-03,,,,
-6.2341528E-03,,,,
-6.2338776E-03,,,,
-6.2336024E-03,,,,
-6.2333272E-03,,,,
-6.2330520E-03,,,,
-6.2327768E-03,,,,
-6.2325016E-03,,,,
-6.2322264E-03,,,,
-6.2319512E-03,,,,
-6.2316760E-03,,,,
-6.2314008E-03,,,,
-6.2311256E-03,,,,
-6.2308504E-03,,,,
-6.2305752E-03,,,,
-6.2303000E-03,,,,
-6.2300248E-03,,,,
-6.2297496E-03,,,,
-6.2294744E-03,,,,
-6.2291992E-03,,,,
-6.2289240E-03,,,,
-6.2286487E-03,,,,
-6.2283735E-03,,,,
-6.2280983E-03,,,,
-6.2278231E-03,,,,
-6.2275479E-03,,,,
